units_layer1,units_layer2,dropout_layer2,learning_rate,val_mean_squared_error
80,30,0.4,0.004850371042724017,0.00010733055023592897
90,100,0.2,0.006291160122703029,0.00011972047650488093
100,70,0.30000000000000004,0.006147184070395214,0.00012128637172281742
50,80,0.2,0.007515970819203388,0.00012835169764002785
100,40,0.4,0.009721657423915403,0.0001424801848770585
30,60,0.4,0.00536658240702523,0.00035104799462715164
60,40,0.5,0.000526644858567877,0.001704273046925664
60,30,0.2,0.00012162727501515752,0.0017646743799559772
80,100,0.1,0.00017726439672289762,0.0018404307775199413
50,50,0.5,0.000306151887234207,0.0018488967907615006
