units_layer1,units_layer2,dropout_layer2,learning_rate,val_mean_squared_error
60,30,0.2,0.006191626495316131,0.0005750882264692336
40,70,0.1,0.009080300897480315,0.0006016299594193697
90,40,0.4,0.0071223894490449685,0.0006840532587375492
40,50,0.5,0.004511709522511237,0.0007780877931509167
60,100,0.30000000000000004,0.0033137745378583987,0.000855627324199304
60,50,0.5,0.000505466655750672,0.0012996475852560252
100,100,0.4,0.0003111457830207511,0.0015254808822646737
60,30,0.2,0.00014690651027379393,0.001707885297946632
50,60,0.5,0.0007767449713530701,0.0017979577532969415
50,70,0.1,0.0009824542588158123,0.0019765766337513924
