units_layer1,units_layer2,dropout_layer2,learning_rate,val_mean_squared_error
40,80,0.5,0.003661908650023749,0.0010704703745432198
50,100,0.1,0.0014420623580721453,0.0011239564628340304
100,60,0.4,0.0017790490616676903,0.0011404466349631548
60,30,0.5,0.005290059865616432,0.0011675373534671962
80,60,0.30000000000000004,0.00484147189732174,0.0011853434261865914
30,70,0.1,0.006974623964295727,0.0012087679642718285
40,80,0.4,0.0007672935450276402,0.0012764838756993413
80,40,0.4,0.008503259982314723,0.0012835400411859155
100,90,0.5,0.0009407757563332102,0.00137620372697711
50,70,0.4,0.002047306960005961,0.0013833355624228716
