units_layer1,units_layer2,dropout_layer2,learning_rate,val_mean_squared_error
80,60,0.5,0.004427672340902837,0.00020155873789917678
50,80,0.1,0.006404687722635315,0.0002082078135572374
90,70,0.5,0.0019545050901889393,0.0002383328537689522
60,90,0.4,0.00946032233003827,0.00024408462923020124
100,90,0.2,0.00458502351256499,0.00024617044255137444
50,50,0.5,0.0010741913029985602,0.0002485340810380876
70,100,0.5,0.004224188523381266,0.0002491977356839925
100,90,0.5,0.0008360797155232669,0.0002503854047972709
40,80,0.5,0.005579936781430615,0.0002597779384814203
90,70,0.1,0.0021979153094558064,0.0002736730966717005
